ccaa,year,d_mean,d_top,d_top_locus,top_excess,d_pass,d_pass_locus,pass_excess,dz,shape_move,rank_dz,rank_shape
Andalucía,2016,-0.25,-2.3200000000000003,-2.957076606705453,0.6370766067054525,-4.75,-3.7703959836387995,-0.9796040163612005,0.49714601948821247,1.616680623066653,116,144
Andalucía,2017,0.1200000000000001,0.259999999999998,1.3856141153259856,-1.1256141153259875,2.0900000000000034,1.8317057325694606,0.25829426743054285,-0.8389928051696269,1.3839083827565304,40,149
Andalucía,2018,-0.8499999999999996,-8.149999999999999,-8.47103985654744,0.3210398565474417,-13.969999999999999,-13.846291714185668,-0.12370828581433102,-0.11915610330966582,0.44474814236177274,77,170
Andalucía,2019,1.0699999999999994,11.39,11.173315905207184,0.21668409479281614,18.340000000000003,17.09933610853556,1.2406638914644432,0.09997543380511259,1.4573479862572594,87,146
Andalucía,2020,0.010000000000000675,4.710000000000001,0.12781150567384358,4.582188494326157,-1.8900000000000006,0.14463449922629934,-2.0346344992263,0.4710637333995725,6.616822993552457,113,26
Andalucía,2021,0.6799999999999997,5.490000000000002,9.70726072843761,-4.2172607284376085,10.759999999999991,9.175990314669974,1.5840096853300167,-0.635596931080605,5.801270413767625,50,40
Andalucía,2022,-0.3700000000000001,-7.330000000000002,-5.530281009949466,-1.7997189900505361,-3.9399999999999977,-4.831681961343833,0.8916819613438349,-0.5365377083762994,2.691400951394371,54,113
Andalucía,2023,0.25,2.6899999999999977,3.671709712126585,-0.9817097121265874,3.980000000000004,3.306795474694127,0.6732045253058772,0.09049929246961741,1.6549142374324646,86,140
Andalucía,2024,-0.5700000000000003,-5.799999999999997,-7.9765009362885735,2.1765009362885763,-9.560000000000002,-7.795738327246568,-1.7642616727534346,0.5056263937709148,3.940762609042011,117,78
Andalucía,2025,-0.02999999999999936,-1.0100000000000016,-0.38083585118359764,-0.6291641488164039,-1.480000000000004,-0.43558931771138987,-1.0444106822886141,0.3729451876943807,1.673574831105018,105,139
Aragón,2016,-0.27000000000000046,-4.529999999999998,-4.28118438840097,-0.24881561159902787,-2.039999999999992,-3.3665119787177673,1.3265119787177753,-0.1414771361143859,1.5753275903168031,74,145
Aragón,2017,-0.13999999999999968,-3.25,-2.095570537332293,-1.1544294626677072,-0.46000000000000796,-1.8262371953353806,1.3662371953353727,-0.9148644414673476,2.52066665800308,35,119
Aragón,2018,-0.2400000000000002,-0.9200000000000017,-3.3949080317467697,2.474908031746768,-5.069999999999993,-3.258814657332664,-1.8111853426673292,0.759518501408035,4.286093374414097,132,71
Aragón,2019,-0.07000000000000028,-2.5500000000000007,-0.9431889686908796,-1.606811031309121,-1.0900000000000034,-0.9809728539768798,-0.10902714602312358,-0.42795572075380317,1.7158381773322446,59,137
Aragón,2020,0.7600000000000007,14.329999999999998,11.375954345518199,2.9540456544817992,10.870000000000005,9.913859060392184,0.9561409396078204,-0.5847552681219821,3.9101865940896197,52,81
Aragón,2021,0.7699999999999996,16.110000000000007,14.076878141681092,2.033121858318914,6.949999999999989,8.389250757412213,-1.4392507574122249,1.8679744762088304,3.472372615731139,163,96
Aragón,2022,0.15000000000000036,-1.730000000000004,3.0410955599971174,-4.771095559997121,4.140000000000001,1.4404003243268164,2.699599675673184,-1.543207872339495,7.470695235670306,15,20
Aragón,2023,0.2699999999999996,6.75,5.719545929675874,1.0304540703241258,2.0799999999999983,2.4334105907145727,-0.35341059071457437,0.7717543527729005,1.3838646610387002,133,150
Aragón,2024,-0.019999999999999574,-2.1099999999999994,-0.4344978431894333,-1.6755021568105661,-0.030000000000001137,-0.17322838621367964,0.1432283862136785,-0.8511950549599372,1.8187305430242446,39,134
Aragón,2025,-1.3100000000000005,-23.810000000000002,-24.68656248777137,0.8765624877713662,-13.699999999999989,-13.794129499222606,0.0941294992226176,0.7142179648165958,0.9706919869939838,129,159
Asturias (Principado de),2016,-1.04,-18.889999999999997,-17.774228938501643,-1.1157710614983536,-13.5,-12.13451030343748,-1.3654896965625198,0.05640729703456371,2.4812607580608734,84,120
Asturias (Principado de),2017,-0.16000000000000014,-5.030000000000001,-2.3187102257062797,-2.7112897742937214,0.3199999999999932,-2.136578944194582,2.4565789441945753,-1.5636447480635642,5.167868718488297,14,51
Asturias (Principado de),2018,-0.6100000000000003,-1.5800000000000018,-7.822921615455751,6.242921615455749,-13.229999999999997,-8.805565282472976,-4.424434717527021,2.574192158150141,10.66735633298277,167,12
Asturias (Principado de),2019,0.5100000000000007,4.700000000000003,6.430032150877054,-1.7300321508770509,9.600000000000001,7.43367734164665,2.1663226583533515,-0.8927495029115895,3.8963548092304023,36,82
Asturias (Principado de),2020,0.08999999999999986,4.419999999999998,1.2516515187424098,3.1683484812575884,-0.3200000000000074,1.235963511768091,-1.5559635117680983,-0.18625845271414693,4.724311993025687,72,61
Asturias (Principado de),2021,1.0699999999999994,14.470000000000002,17.56863253226692,-3.098632532266919,16.200000000000003,12.950533008488947,3.2494669915110563,-0.5151270374973276,6.348099523777975,55,31
Asturias (Principado de),2022,-0.8999999999999995,-16.310000000000002,-15.108684360724354,-1.2013156392756486,-13.989999999999995,-10.678029635236129,-3.311970364763866,0.361609033273877,4.513286004039514,103,64
Asturias (Principado de),2023,0.1299999999999999,3.1400000000000006,1.9655934767935506,1.17440652320645,3.3700000000000045,1.6830075461361957,1.6869924538638088,0.6083077217926628,2.861398977070259,123,108
Asturias (Principado de),2024,0.71,17.480000000000004,12.02670129469093,5.453298705309074,6.1299999999999955,8.353957888116923,-2.223957888116928,1.4842801675303408,7.6772565934260015,156,18
Asturias (Principado de),2025,-1.5499999999999998,-32.07000000000001,-23.435922223307724,-8.634077776692283,-15.439999999999998,-20.066628434700995,4.626628434700997,-2.789636298438434,13.26070621139328,3,4
Balears (Illes),2016,-0.5600000000000005,-5.609999999999999,-6.490453419341588,0.8804534193415883,-7.989999999999995,-8.532225765020577,0.5422257650205822,0.3778515851566743,1.4226791843621704,106,148
Balears (Illes),2017,-0.2599999999999998,-1.1300000000000026,-2.551728504637804,1.4217285046378016,-8.810000000000002,-4.260904559538332,-4.54909544046167,0.896643722219317,5.970823945099472,137,39
Balears (Illes),2018,0.3700000000000001,1.6000000000000014,3.719444031909589,-2.1194440319095875,9.86,6.006417554009062,3.853582445990938,-1.6838837002569553,5.973026477900525,12,38
Balears (Illes),2019,0.34999999999999964,6.009999999999998,4.0641128291156825,1.9458871708843155,4.090000000000003,5.327724128042995,-1.2377241280429914,1.0384683586297738,3.183611298927307,142,104
Balears (Illes),2020,-0.28000000000000025,0.3100000000000023,-3.293735138644834,3.6037351386448364,-5.800000000000004,-4.234644241903133,-1.5653557580968709,0.24595924694049942,5.169090896741707,94,50
Balears (Illes),2021,0.020000000000000462,-4.670000000000002,0.22400591031993855,-4.89400591031994,1.0,0.3097798088483046,0.6902201911516954,-0.9687848529216687,5.584226101471636,33,46
Balears (Illes),2022,0.11000000000000032,1.120000000000001,1.2629999413279442,-0.14299994132794325,1.3200000000000003,1.6836995932781207,-0.3636995932781204,0.17095789351354876,0.5066995346060637,91,168
Balears (Illes),2023,1.0099999999999998,13.849999999999998,14.046311488109211,-0.19631148810921317,17.400000000000006,13.870257187619679,3.529742812380327,-0.04730438629331471,3.7260543004895403,79,91
Balears (Illes),2024,-0.39000000000000057,-5.009999999999998,-5.947454414219628,0.9374544142196299,-6.400000000000006,-5.016149147774399,-1.3838508522256063,0.10467733803336907,2.3213052664452363,88,122
Balears (Illes),2025,-1.6499999999999995,-21.76,-17.873049461787296,-3.886950538212705,-24.699999999999996,-25.95089466258873,1.2508946625887347,-1.5326684353044238,5.13784520080144,16,52
Canarias,2016,-0.08999999999999986,-2.8000000000000007,-1.111323563496068,-1.6886764365039326,1.759999999999998,-1.326997793524498,3.086997793524496,-0.9424946978095268,4.775674230028429,34,59
Canarias,2017,-0.33000000000000007,-1.1900000000000013,-3.7747071618753836,2.5847071618753823,-3.210000000000001,-5.060370790013259,1.8503707900132582,0.3932203940505862,4.4350779518886405,107,66
Canarias,2018,0.11000000000000032,-0.8499999999999979,1.2058292928942542,-2.055829292894252,-1.509999999999998,1.7207876339936945,-3.2307876339936925,-0.6397627172101084,5.286616926887945,49,48
Canarias,2019,-1.7600000000000002,-13.430000000000001,-13.004497358601848,-0.42550264139815397,-25.630000000000003,-31.61228662261206,5.982286622612058,-0.6887953394260117,6.407789264010212,47,30
Canarias,2020,1.65,17.869999999999997,11.798668065707593,6.071331934292404,23.57,29.891498988618366,-6.321498988618366,1.7637968981113075,12.39283092291077,161,5
Canarias,2021,1.0199999999999996,10.590000000000003,13.191394196085717,-2.601394196085714,13.82,14.652412629146205,-0.8324126291462051,0.032750942231454694,3.433806825231919,83,97
Canarias,2022,-0.019999999999999574,-0.0799999999999983,-0.3019658854567915,0.2219658854567932,1.6200000000000045,-0.25920520787249757,1.8792052078725021,-0.04577023203204211,2.1011710933292953,80,126
Canarias,2023,-1.21,-20.210000000000004,-15.045940764686716,-5.164059235313289,-16.870000000000005,-17.77275337162856,0.9027533716285561,-1.7094769143368853,6.066812606941845,11,35
Canarias,2024,0.8399999999999999,12.629999999999999,9.7720614507429,2.8579385492570992,10.850000000000009,12.774737167075465,-1.924737167075456,1.1393237927545405,4.782675716332555,143,58
Canarias,2025,-0.7999999999999998,-7.009999999999998,-9.376022946860923,2.366022946860925,-11.690000000000005,-12.121461148728322,0.4314611487283173,1.4308903557388526,2.797484095589242,154,110
Cantabria,2016,0.96,24.53,19.525379564090997,5.004620435909004,7.5,9.178102394911036,-1.6781023949110363,1.7371974668034693,6.68272283082004,160,24
Cantabria,2017,-1.9699999999999998,-35.89,-35.75890146576188,-0.13109853423812012,-23.310000000000002,-21.629461055154593,-1.6805389448454093,-0.15784328507416942,1.8116374790835295,73,135
